goal,target,indicator,country_code,country,year,source,beach_litter_in_ocean_percent
14,14.1,14.1.1,513,europe and northern america,2019,center for ocean-atmospheric prediction studies (coaps),43.93
14,14.1,14.1.1,513,europe and northern america,2020,center for ocean-atmospheric prediction studies (coaps),43.13
14,14.1,14.1.1,513,europe and northern america,2021,center for ocean-atmospheric prediction studies (coaps),44.06
14,14.1,14.1.1,513,europe and northern america,2022,center for ocean-atmospheric prediction studies (coaps),40.37
14,14.1,14.1.1,242,fiji,2017,center for ocean-atmospheric prediction studies (coaps),27.11
14,14.1,14.1.1,242,fiji,2018,center for ocean-atmospheric prediction studies (coaps),32.78
14,14.1,14.1.1,242,fiji,2019,center for ocean-atmospheric prediction studies (coaps),23.6
14,14.1,14.1.1,242,fiji,2020,center for ocean-atmospheric prediction studies (coaps),24.08
14,14.1,14.1.1,242,fiji,2021,center for ocean-atmospheric prediction studies (coaps),30.06
14,14.1,14.1.1,246,finland,2017,center for ocean-atmospheric prediction studies (coaps),5.71
14,14.1,14.1.1,246,finland,2018,center for ocean-atmospheric prediction studies (coaps),9.03
14,14.1,14.1.1,246,finland,2019,center for ocean-atmospheric prediction studies (coaps),9.15
14,14.1,14.1.1,246,finland,2020,center for ocean-atmospheric prediction studies (coaps),2.9
14,14.1,14.1.1,246,finland,2021,center for ocean-atmospheric prediction studies (coaps),18.52
14,14.1,14.1.1,250,france,2017,center for ocean-atmospheric prediction studies (coaps),26.3
14,14.1,14.1.1,250,france,2018,center for ocean-atmospheric prediction studies (coaps),31.47
14,14.1,14.1.1,250,france,2019,center for ocean-atmospheric prediction studies (coaps),33.79
14,14.1,14.1.1,250,france,2020,center for ocean-atmospheric prediction studies (coaps),26.75
14,14.1,14.1.1,250,france,2021,center for ocean-atmospheric prediction studies (coaps),28.38
14,14.1,14.1.1,254,french guiana,2017,center for ocean-atmospheric prediction studies (coaps),22.03
14,14.1,14.1.1,254,french guiana,2018,center for ocean-atmospheric prediction studies (coaps),21.31
14,14.1,14.1.1,254,french guiana,2019,center for ocean-atmospheric prediction studies (coaps),20.31
14,14.1,14.1.1,254,french guiana,2020,center for ocean-atmospheric prediction studies (coaps),33.85
