"SCENARIO","Scenario","PLASTIC_LEAKAGE_TO_OCEAN","Variable","TIME","Time","Value","Flag Codes","Flags"
"CENTRAL_BASELINE","Baseline","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2048","2048",9.682964,,
"CENTRAL_BASELINE","Baseline","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2049","2049",9.833913,,
"CENTRAL_BASELINE","Baseline","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2050","2050",9.996292,,
"CENTRAL_BASELINE","Baseline","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2051","2051",10.158322,,
"CENTRAL_BASELINE","Baseline","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2052","2052",10.31943,,
"CENTRAL_BASELINE","Baseline","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2053","2053",10.480348,,
"CENTRAL_BASELINE","Baseline","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2054","2054",10.640948,,
"CENTRAL_BASELINE","Baseline","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2055","2055",10.806265,,
"CENTRAL_BASELINE","Baseline","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2056","2056",10.974926,,
"CENTRAL_BASELINE","Baseline","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2057","2057",11.143515,,
"CENTRAL_BASELINE","Baseline","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2058","2058",11.311243,,
"CENTRAL_BASELINE","Baseline","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2059","2059",11.478207,,
"CENTRAL_BASELINE","Baseline","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2060","2060",11.647375,,
"CENTRAL_BASELINE","Baseline","TRANSPORT_TO_OCEANS","Transport to oceans","2019","2019",1.661229,,
"CENTRAL_BASELINE","Baseline","TRANSPORT_TO_OCEANS","Transport to oceans","2020","2020",1.716954,,
"CENTRAL_BASELINE","Baseline","TRANSPORT_TO_OCEANS","Transport to oceans","2021","2021",1.769307,,
"CENTRAL_BASELINE","Baseline","TRANSPORT_TO_OCEANS","Transport to oceans","2022","2022",1.820733,,
"CENTRAL_BASELINE","Baseline","TRANSPORT_TO_OCEANS","Transport to oceans","2023","2023",1.870914,,
"CENTRAL_BASELINE","Baseline","TRANSPORT_TO_OCEANS","Transport to oceans","2024","2024",1.920189,,
"CENTRAL_BASELINE","Baseline","TRANSPORT_TO_OCEANS","Transport to oceans","2025","2025",1.969164,,
"CENTRAL_BASELINE","Baseline","TRANSPORT_TO_OCEANS","Transport to oceans","2026","2026",2.018163,,
"CENTRAL_BASELINE","Baseline","TRANSPORT_TO_OCEANS","Transport to oceans","2027","2027",2.067205,,
"CENTRAL_BASELINE","Baseline","TRANSPORT_TO_OCEANS","Transport to oceans","2028","2028",2.116358,,
"CENTRAL_BASELINE","Baseline","TRANSPORT_TO_OCEANS","Transport to oceans","2029","2029",2.165658,,
"CENTRAL_BASELINE","Baseline","TRANSPORT_TO_OCEANS","Transport to oceans","2030","2030",2.215536,,
"CENTRAL_BASELINE","Baseline","TRANSPORT_TO_OCEANS","Transport to oceans","2031","2031",2.265818,,
"CENTRAL_BASELINE","Baseline","TRANSPORT_TO_OCEANS","Transport to oceans","2032","2032",2.316518,,
"CENTRAL_BASELINE","Baseline","TRANSPORT_TO_OCEANS","Transport to oceans","2033","2033",2.367755,,
"CENTRAL_BASELINE","Baseline","TRANSPORT_TO_OCEANS","Transport to oceans","2034","2034",2.419553,,
"CENTRAL_BASELINE","Baseline","TRANSPORT_TO_OCEANS","Transport to oceans","2035","2035",2.471933,,
"CENTRAL_BASELINE","Baseline","TRANSPORT_TO_OCEANS","Transport to oceans","2036","2036",2.524842,,
"CENTRAL_BASELINE","Baseline","TRANSPORT_TO_OCEANS","Transport to oceans","2037","2037",2.578287,,
"CENTRAL_BASELINE","Baseline","TRANSPORT_TO_OCEANS","Transport to oceans","2038","2038",2.632651,,
"CENTRAL_BASELINE","Baseline","TRANSPORT_TO_OCEANS","Transport to oceans","2039","2039",2.687721,,
"CENTRAL_BASELINE","Baseline","TRANSPORT_TO_OCEANS","Transport to oceans","2040","2040",2.744053,,
"CENTRAL_BASELINE","Baseline","TRANSPORT_TO_OCEANS","Transport to oceans","2041","2041",2.801277,,
"CENTRAL_BASELINE","Baseline","TRANSPORT_TO_OCEANS","Transport to oceans","2042","2042",2.859275,,
"CENTRAL_BASELINE","Baseline","TRANSPORT_TO_OCEANS","Transport to oceans","2043","2043",2.918129,,
"CENTRAL_BASELINE","Baseline","TRANSPORT_TO_OCEANS","Transport to oceans","2044","2044",2.977768,,
"CENTRAL_BASELINE","Baseline","TRANSPORT_TO_OCEANS","Transport to oceans","2045","2045",3.038127,,
"CENTRAL_BASELINE","Baseline","TRANSPORT_TO_OCEANS","Transport to oceans","2046","2046",3.099159,,
"CENTRAL_BASELINE","Baseline","TRANSPORT_TO_OCEANS","Transport to oceans","2047","2047",3.160772,,
"CENTRAL_BASELINE","Baseline","TRANSPORT_TO_OCEANS","Transport to oceans","2048","2048",3.222921,,
"CENTRAL_BASELINE","Baseline","TRANSPORT_TO_OCEANS","Transport to oceans","2049","2049",3.285635,,
"CENTRAL_BASELINE","Baseline","TRANSPORT_TO_OCEANS","Transport to oceans","2050","2050",3.349415,,
"CENTRAL_BASELINE","Baseline","TRANSPORT_TO_OCEANS","Transport to oceans","2051","2051",3.414078,,
"CENTRAL_BASELINE","Baseline","TRANSPORT_TO_OCEANS","Transport to oceans","2052","2052",3.479498,,
"CENTRAL_BASELINE","Baseline","TRANSPORT_TO_OCEANS","Transport to oceans","2053","2053",3.545697,,
"CENTRAL_BASELINE","Baseline","TRANSPORT_TO_OCEANS","Transport to oceans","2054","2054",3.612629,,
"CENTRAL_BASELINE","Baseline","TRANSPORT_TO_OCEANS","Transport to oceans","2055","2055",3.68037,,
"CENTRAL_BASELINE","Baseline","TRANSPORT_TO_OCEANS","Transport to oceans","2056","2056",3.74897,,
"CENTRAL_BASELINE","Baseline","TRANSPORT_TO_OCEANS","Transport to oceans","2057","2057",3.818357,,
"CENTRAL_BASELINE","Baseline","TRANSPORT_TO_OCEANS","Transport to oceans","2058","2058",3.888434,,
"CENTRAL_BASELINE","Baseline","TRANSPORT_TO_OCEANS","Transport to oceans","2059","2059",3.959176,,
"CENTRAL_BASELINE","Baseline","TRANSPORT_TO_OCEANS","Transport to oceans","2060","2060",4.030717,,
"OBOV-FULL","Global Ambition policy scenario","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2019","2019",30.408611,,
"OBOV-FULL","Global Ambition policy scenario","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2020","2020",32.123541,,
